,name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
0,Canada,CAN,CAD,3.19,1.37,28340.085,39704.871,2004-05-01
1,Uruguay,URY,UYU,62.0,23.945,6377.451,153133.756,2007-06-01
2,Israel,ISR,ILS,15.0,3.97425,30185.463,108306.082,2009-07-01
3,Australia,AUS,AUD,3.0,1.98,20910.76,35911.64,2001-04-01
4,Brazil,BRA,BRL,6.9,1.913,6066.958,13197.605,2007-06-01
5,Japan,JPN,JPY,280.0,122.315,36021.9,4189322.191,2007-06-01
6,Uruguay,URY,UYU,44.0,24.125,4476.943,128265.528,2005-06-01
7,Japan,JPN,JPY,320.0,92.565,39992.06,4133559.049,2009-07-01
8,Taiwan,TWN,TWD,75.0,31.8425,16904.543,558805.035,2010-01-01
9,Chile,CHL,CLP,1400.0,655.0,4608.057,2925831.871,2002-04-01
10,Denmark,DNK,DKK,27.75,6.78,33275.556,262701.007,2003-04-01
11,UAE,ARE,AED,10.0,3.673,39073.38,143496.986,2009-07-01
12,Russia,RUS,RUB,41.0,31.1,2546.779,79862.291,2003-04-01
13,Peru,PER,PEN,8.056,2.8705,4276.689,12878.357,2010-01-01
14,Czech Republic,CZE,CZK,52.9,21.11675,15284.674,345366.499,2007-06-01
15,Singapore,SGP,SGD,4.45,1.39555,38926.813,56619.622,2010-01-01
16,Sweden,SWE,SEK,33.0,7.28455,43349.851,323957.266,2006-05-01
17,Canada,CAN,CAD,3.88,1.05345,40559.017,46007.907,2007-06-01
18,Japan,JPN,JPY,320.0,87.18,41469.773,3880330.353,2010-07-01
19,Norway,NOR,NOK,41.5,6.1023,74255.799,476227.19,2007-01-01
20,Hungary,HUN,HUF,740.0,221.96915,13066.422,2643881.567,2010-07-01
21,Finland,FIN,EUR,3.75,0.697520315,46647.002,35157.538,2011-07-01
22,Sweden,SWE,SEK,24.0,10.28,29589.141,271102.937,2001-04-01
23,Peru,PER,PEN,7.9,3.46,1998.363,7027.742,2003-04-01
24,Chile,CHL,CLP,1500.0,592.45,6183.906,3769271.108,2005-06-01
25,Japan,JPN,JPY,250.0,112.105,37819.107,4168354.311,2006-05-01
26,Turkey,TUR,TRY,4.55,1.40975,7961.078,11411.982,2007-01-01
27,Brazil,BRA,BRL,7.5,1.5846,7572.61,14744.314,2008-06-01
28,Thailand,THA,THB,64.49,34.165,4379.659,145900.887,2009-07-01
29,Switzerland,CHE,CHF,6.5,1.03115,71894.922,78231.862,2010-01-01
30,UAE,ARE,AED,9.0,3.6725,39301.136,144333.422,2005-06-01
31,Sri Lanka,LKA,LKR,190.0,102.955,1477.595,148459.868,2006-05-01
32,Argentina,ARG,ARS,7.0,3.0565,5163.55,15094.732,2006-05-01
33,Hungary,HUN,HUF,600.0,180.2106,11483.141,2415938.077,2007-06-01
34,Hong Kong,HKG,HKD,11.2,8.0,25166.902,196297.639,2002-04-01
35,Poland,POL,PLN,5.9,4.04,4987.859,20418.796,2002-04-01
36,Euro area,EUZ,EUR,2.71,0.909090909,23236.5527956418,24591.4082115628,2003-04-01
37,Mexico,MEX,MXN,32.0,12.81375,8346.772,112793.89,2010-01-01
38,Colombia,COL,COP,8400.0,1770.5,6498.573,12340774.77,2011-07-01
39,Japan,JPN,JPY,280.0,121.585,36021.9,4189322.191,2007-01-01
40,Singapore,SGP,SGD,3.6,1.53795,33768.446,53655.809,2007-01-01
41,Taiwan,TWN,TWD,75.0,30.3625,17723.704,582093.712,2008-06-01
42,Costa Rica,CRI,CRC,2050.0,504.305,8268.859,4348350.66,2011-07-01
43,Singapore,SGP,SGD,3.3,1.82,21699.748,38879.926,2002-04-01
44,Saudi Arabia,SAU,SAR,10.0,3.7502,18836.932,70638.494,2010-01-01
45,Denmark,DNK,DKK,24.75,8.04,33492.354,233650.703,2000-04-01
46,Brazil,BRA,BRL,3.6,2.34,3256.18,7650.857,2002-04-01
47,Switzerland,CHE,CHF,6.3,1.37,42656.086,66484.096,2003-04-01
48,Britain,GBR,GBP,1.94,0.531801744,42143.874,23153.113,2006-05-01
49,Ukraine,UKR,UAH,11.0,4.6,3101.388,15662.011,2008-06-01
50,Poland,POL,PLN,6.5,3.09915,8023.921,25947.888,2006-05-01
51,Denmark,DNK,DKK,29.5,5.3375,64531.119,328988.086,2009-07-01
52,Sri Lanka,LKA,LKR,210.0,111.4,1698.156,176506.335,2007-06-01
53,Australia,AUS,AUD,4.35,1.09355,45778.86,57852.456,2010-01-01
54,United States,USA,USD,3.43,1.0,47102.428,47102.428,2010-01-01
55,Hungary,HUN,HUF,459.0,272.0,5269.607,1509676.569,2002-04-01
56,Australia,AUS,AUD,3.45,1.17,37976.196,50409.726,2007-06-01
57,Japan,JPN,JPY,294.0,124.0,39172.971,4221494.688,2001-04-01
58,South Africa,ZAF,ZAR,9.7,10.9,2964.029,25499.541,2002-04-01
