id,lat,lng,locale,displayName,displayNameAlternate,street,zipCode,city,timezone,stateProvinceCode,displayAddress
1,38.8176,-9.148,pt/pt,Loures,IKEA Loures,EN 250 Rua 28 de Setembro,2660-001,"Frielas, Loures, Lisboa",Europe/Lisbon,PT11,"EN 250 Rua 28 de Setembro, Frielas, Loures, Lisboa"
1,38.8176,-9.148,pt/en,Loures,IKEA Loures,EN 250 Rua 28 de Setembro,2660-001,"Frielas, Loures, Lisboa",Europe/Lisbon,PT11,"EN 250 Rua 28 de Setembro, Frielas, Loures, Lisboa"
2,50.4863,30.5219,ua/uk,IKEA Київ,IKEA Київ,"проспект Степана Бандери, 36,",04073,Kyiv,Europe/Kiev,UA30,"проспект Степана Бандери, 36,, Kyiv"
3,49.1899,-123.0797,ca/en,Richmond,IKEA Richmond,3320 Jacombs Road,V6V 1Z6,Richmond,America/Vancouver,CABC,"3320 Jacombs Road, Richmond"
3,49.1899,-123.0797,ca/fr,Richmond,IKEA Richmond,3320 Jacombs Road,V6V 1Z6,Richmond,America/Vancouver,CABC,"3320 Jacombs Road, Richmond"
4,45.3503,-75.7841,ca/en,Ottawa,IKEA Ottawa,2685 Iris Street,K2C 3S4,Ottawa,America/Toronto,CAON,"2685 Iris Street, Ottawa"
4,45.3503,-75.7841,ca/fr,Ottawa,IKEA Ottawa,2685 Iris Street,K2C 3S4,Ottawa,America/Toronto,CAON,"2685 Iris Street, Ottawa"
5,56.996218445547804,9.865353140687175,dk/da,Aalborg,IKEA Aalborg,Krebsen 40,9200,Aalborg,Europe/Copenhagen,DK80,"Krebsen 40, Aalborg"
6,-37.9275,145.1438,au/en,Springvale,IKEA Springvale,917 Princes Highway,3171,Springvale,Australia/Melbourne,AUVI,"917 Princes Highway, Springvale"
7,58.1873,8.1584,no/no,Sørlandet,IKEA Sørlandet,Sydinga 20,4636,Kristiansand,Europe/Oslo,,"Sydinga 20, Kristiansand"
7,58.1873,8.1584,no/en,Sørlandet,IKEA Sørlandet,Sydinga 20,4636,Kristiansand,Europe/Oslo,,"Sydinga 20, Kristiansand"
8,61.451,23.7704,fi/fi,Tampere,IKEA Tampere,Leppästensuonkatu 4,33840,Tampere,Europe/Helsinki,FILS,"Leppästensuonkatu 4, Tampere"
8,61.451,23.7704,fi/en,Tampere,IKEA Tampere,Leppästensuonkatu 4,33840,Tampere,Europe/Helsinki,FILS,"Leppästensuonkatu 4, Tampere"
9,41.2094959,-8.6884153,pt/pt,Matosinhos,IKEA Matosinhos,Avenida Dr. Óscar Lopes,4450-745,Matosinhos,Europe/Lisbon,PT13,"Avenida Dr. Óscar Lopes, Matosinhos"
9,41.2094959,-8.6884153,pt/en,Matosinhos,IKEA Matosinhos,Avenida Dr. Óscar Lopes,4450-745,Matosinhos,Europe/Lisbon,PT13,"Avenida Dr. Óscar Lopes, Matosinhos"
10,56.5486,14.1327,se/sv,HSU SE,IKEA HSU SE,SJÖGATAN,34381,ÄLMHULT,Europe/Stockholm,,"SJÖGATAN, ÄLMHULT"
10,56.5486,14.1327,se/en,HSU SE,IKEA HSU SE,SJÖGATAN,34381,ÄLMHULT,Europe/Stockholm,,"SJÖGATAN, ÄLMHULT"
12,59.2707,17.9173,se/sv,Stockholm Kungens Kurva,IKEA Stockholm Kungens Kurva,Ekgårdsvägen 1,14 175,Kungens Kurva,Europe/Stockholm,SEAB,"Ekgårdsvägen 1, Kungens Kurva"
12,59.2707,17.9173,se/en,Stockholm Kungens Kurva,IKEA Stockholm Kungens Kurva,Ekgårdsvägen 1,14 175,Kungens Kurva,Europe/Stockholm,SEAB,"Ekgårdsvägen 1, Kungens Kurva"
17,58.4333,15.5867,se/sv,Linköping,IKEA Linköping,Västra Svedengatan 7,581 11,Linköping,Europe/Stockholm,,"Västra Svedengatan 7, Linköping"
17,58.4333,15.5867,se/en,Linköping,IKEA Linköping,Västra Svedengatan 7,581 11,Linköping,Europe/Stockholm,,"Västra Svedengatan 7, Linköping"
18,43.97830544461172,4.891127345993009,fr/fr,Avignon,IKEA Avignon,100 CHEMIN DU PONT BLANC,84270,VEDENE,Europe/Paris,FRPAC,"100 CHEMIN DU PONT BLANC, VEDENE"
19,59.4208,17.8581,se/sv,Stockholm Barkarby,IKEA Stockholm Barkarby,Folkungavägen 50,17738,Barkarby,Europe/Stockholm,,"Folkungavägen 50, Barkarby"
19,59.4208,17.8581,se/en,Stockholm Barkarby,IKEA Stockholm Barkarby,Folkungavägen 50,17738,Barkarby,Europe/Stockholm,,"Folkungavägen 50, Barkarby"
20,59.6078,16.457,se/sv,Västerås,IKEA Västerås,Domkraftsvägen 2,721 38,Västerås,Europe/Stockholm,,"Domkraftsvägen 2, Västerås"
20,59.6078,16.457,se/en,Västerås,IKEA Västerås,Domkraftsvägen 2,721 38,Västerås,Europe/Stockholm,,"Domkraftsvägen 2, Västerås"
21,45.7925,16.15555,hr/hr,Zagreb,Robna kuća IKEA Zagreb,Ulica Alfreda Nobela 2,10361,Sop,Europe/Zagreb,HR21,"Ulica Alfreda Nobela 2, Sop"
22,1.3744558681055423,103.93235696881214,sg/en,Tampines,IKEA Tampines,60 Tampines North Drive 2,528764,Singapore 528764,Asia/Singapore,,"60 Tampines North Drive 2, Singapore 528764"
23,28.0536,-16.6121,es/es,Tenerife,IKEA Tenerife,PARQUE COMERCIAL LA LAGUNA,38205,"LA LAGUNA, TENERIFE",Atlantic/Canary,ESTF,"PARQUE COMERCIAL LA LAGUNA, LA LAGUNA, TENERIFE"
23,28.0536,-16.6121,es/eu,Tenerifa,IKEA Tenerifa,PARQUE COMERCIAL LA LAGUNA,38205,"LA LAGUNA, TENERIFE",Atlantic/Canary,ESTF,"PARQUE COMERCIAL LA LAGUNA, LA LAGUNA, TENERIFE"
23,28.0536,-16.6121,es/gl,Tenerifa,IKEA Tenerifa,PARQUE COMERCIAL LA LAGUNA,38205,"LA LAGUNA, TENERIFE",Atlantic/Canary,ESTF,"PARQUE COMERCIAL LA LAGUNA, LA LAGUNA, TENERIFE"
23,28.0536,-16.6121,es/ca,Tenerifa,IKEA Tenerifa,PARQUE COMERCIAL LA LAGUNA,38205,"LA LAGUNA, TENERIFE",Atlantic/Canary,ESTF,"PARQUE COMERCIAL LA LAGUNA, LA LAGUNA, TENERIFE"
23,28.0536,-16.6121,es/en,Tenerifa,IKEA Tenerifa,PARQUE COMERCIAL LA LAGUNA,38205,"LA LAGUNA, TENERIFE",Atlantic/Canary,ESTF,"PARQUE COMERCIAL LA LAGUNA, LA LAGUNA, TENERIFE"
26,42.3252,-83.4516,us/en,"Canton, MI","IKEA Canton, MI",41640 Ford Road,48187,Canton,America/Detroit,USMI,"41640 Ford Road, Canton"
26,42.3252,-83.4516,us/es,"Canton, MI","IKEA Canton, MI",41640 Ford Road,48187,Canton,America/Detroit,USMI,"41640 Ford Road, Canton"
27,30.5569,-97.6897,us/en,"Round Rock, TX","IKEA Round Rock, TX",1 IKEA Way,78665,Round Rock,America/Chicago,USTX,"1 IKEA Way, Round Rock"
27,30.5569,-97.6897,us/es,"Round Rock, TX","IKEA Round Rock, TX",1 IKEA Way,78665,Round Rock,America/Chicago,USTX,"1 IKEA Way, Round Rock"
28,45.5712,-122.5537,us/en,"Portland, OR","IKEA Portland, OR",10280 NE Cascades Parkway,97220,Portland,America/Los_Angeles,USOR,"10280 NE Cascades Parkway, Portland"
28,45.5712,-122.5537,us/es,"Portland, OR","IKEA Portland, OR",10280 NE Cascades Parkway,97220,Portland,America/Los_Angeles,USOR,"10280 NE Cascades Parkway, Portland"
29,42.3941,14.168,it/it,Chieti San Giovanni Teatino,IKEA Chieti San Giovanni Teatino,"Via Regolizie, 22",66020,SAN GIOVANNI TEATINO,Europe/Rome,ITCH,"Via Regolizie, 22, SAN GIOVANNI TEATINO"
